station,date,value,yr,mo
gtmfmnut,2003-01-22,0.55,2003,Jan
gtmfmnut,2003-02-26,1.2000000000000002,2003,Feb
gtmfmnut,2003-03-26,1.5,2003,Mar
gtmfmnut,2003-04-29,5.05,2003,Apr
gtmfmnut,2003-05-27,3.15,2003,May
gtmfmnut,2003-06-25,3.45,2003,Jun
gtmfmnut,2003-07-29,2.5,2003,Jul
gtmfmnut,2003-08-26,2.4,2003,Aug
gtmfmnut,2003-09-24,3.8499999999999996,2003,Sep
gtmfmnut,2003-10-23,2.8499999999999996,2003,Oct
gtmfmnut,2003-11-24,2.8499999999999996,2003,Nov
gtmfmnut,2003-12-11,1.25,2003,Dec
gtmfmnut,2004-01-07,1.05,2004,Jan
gtmfmnut,2004-02-04,1.1,2004,Feb
gtmfmnut,2004-03-17,1.5,2004,Mar
gtmfmnut,2004-04-15,2.95,2004,Apr
gtmfmnut,2004-05-05,3.95,2004,May
gtmfmnut,2004-06-01,4.4,2004,Jun
gtmfmnut,2004-07-13,3.45,2004,Jul
gtmfmnut,2004-08-16,2.8,2004,Aug
gtmfmnut,2004-09-13,3.1,2004,Sep
gtmfmnut,2004-10-25,2.9,2004,Oct
gtmfmnut,2004-11-01,2.5,2004,Nov
gtmfmnut,2004-12-08,2,2004,Dec
gtmfmnut,2005-02-07,0.8250000000000001,2005,Feb
gtmfmnut,2005-03-07,0.575,2005,Mar
gtmfmnut,2005-04-05,3.5,2005,Apr
gtmfmnut,2005-05-04,2.45,2005,May
gtmfmnut,2005-06-21,3.85,2005,Jun
gtmfmnut,2005-07-07,3.9000000000000004,2005,Jul
gtmfmnut,2005-08-03,2.7,2005,Aug
gtmfmnut,2005-09-19,2.7,2005,Sep
gtmfmnut,2005-10-03,1.9,2005,Oct
gtmfmnut,2005-11-14,2.1,2005,Nov
gtmfmnut,2005-12-06,0.8,2005,Dec
gtmfmnut,2006-01-17,0.8,2006,Jan
gtmfmnut,2006-02-14,0.9,2006,Feb
gtmfmnut,2006-03-14,1.2000000000000002,2006,Mar
gtmfmnut,2006-04-12,2.9000000000000004,2006,Apr
gtmfmnut,2006-05-10,2.25,2006,May
gtmfmnut,2006-06-12,1.4500000000000002,2006,Jun
gtmfmnut,2006-07-11,2.1,2006,Jul
gtmfmnut,2006-08-08,4.9,2006,Aug
gtmfmnut,2006-09-25,7.300000000000001,2006,Sep
gtmfmnut,2006-10-23,4.7,2006,Oct
gtmfmnut,2006-11-08,3.9,2006,Nov
gtmfmnut,2006-12-06,1.9000000000000001,2006,Dec
gtmfmnut,2007-01-03,1.55,2007,Jan
gtmfmnut,2007-02-19,1.3,2007,Feb
gtmfmnut,2007-03-06,2,2007,Mar
gtmfmnut,2007-04-04,6.7,2007,Apr
gtmfmnut,2007-05-15,3.35,2007,May
gtmfmnut,2007-06-13,4.45,2007,Jun
