"","Year","month","nao"
"1",2003,"Jan",0.16
"2",2003,"Feb",0.62
"3",2003,"Mar",0.32
"4",2003,"Apr",-0.18
"5",2003,"May",0.01
"6",2003,"Jun",-0.07
"7",2003,"Jul",0.13
"8",2003,"Aug",-0.07
"9",2003,"Sep",0.01
"10",2003,"Oct",-1.26
"11",2003,"Nov",0.86
"12",2003,"Dec",0.64
"13",2004,"Jan",-0.29
"14",2004,"Feb",-0.14
"15",2004,"Mar",1.02
"16",2004,"Apr",1.15
"17",2004,"May",0.19
"18",2004,"Jun",-0.89
"19",2004,"Jul",1.13
"20",2004,"Aug",-0.48
"21",2004,"Sep",0.38
"22",2004,"Oct",-1.1
"23",2004,"Nov",0.73
"24",2004,"Dec",1.21
"25",2005,"Jan",1.52
"26",2005,"Feb",-0.06
"27",2005,"Mar",-1.83
"28",2005,"Apr",-0.3
"29",2005,"May",-1.25
"30",2005,"Jun",-0.05
"31",2005,"Jul",-0.51
"32",2005,"Aug",0.37
"33",2005,"Sep",0.63
"34",2005,"Oct",-0.98
"35",2005,"Nov",-0.31
"36",2005,"Dec",-0.44
"37",2006,"Jan",1.27
"38",2006,"Feb",-0.51
"39",2006,"Mar",-1.28
"40",2006,"Apr",1.24
"41",2006,"May",-1.14
"42",2006,"Jun",0.84
"43",2006,"Jul",0.9
"44",2006,"Aug",-1.73
"45",2006,"Sep",-1.62
"46",2006,"Oct",-2.24
"47",2006,"Nov",0.44
"48",2006,"Dec",1.34
"49",2007,"Jan",0.22
"50",2007,"Feb",-0.47
"51",2007,"Mar",1.44
"52",2007,"Apr",0.17
"53",2007,"May",0.66
"54",2007,"Jun",-1.31
"55",2007,"Jul",-0.58
"56",2007,"Aug",-0.14
"57",2007,"Sep",0.72
"58",2007,"Oct",0.45
"59",2007,"Nov",0.58
"60",2007,"Dec",0.34
"61",2008,"Jan",0.89
"62",2008,"Feb",0.73
"63",2008,"Mar",0.08
"64",2008,"Apr",-1.07
"65",2008,"May",-1.73
"66",2008,"Jun",-1.39
"67",2008,"Jul",-1.27
"68",2008,"Aug",-1.16
"69",2008,"Sep",1.02
"70",2008,"Oct",-0.04
"71",2008,"Nov",-0.32
"72",2008,"Dec",-0.28
"73",2009,"Jan",-0.01
"74",2009,"Feb",0.06
"75",2009,"Mar",0.57
"76",2009,"Apr",-0.2
"77",2009,"May",1.68
"78",2009,"Jun",-1.21
"79",2009,"Jul",-2.15
"80",2009,"Aug",-0.19
"81",2009,"Sep",1.51
"82",2009,"Oct",-1.03
"83",2009,"Nov",-0.02
"84",2009,"Dec",-1.93
"85",2010,"Jan",-1.11
"86",2010,"Feb",-1.98
"87",2010,"Mar",-0.88
"88",2010,"Apr",-0.72
"89",2010,"May",-1.49
"90",2010,"Jun",-0.82
"91",2010,"Jul",-0.42
"92",2010,"Aug",-1.22
"93",2010,"Sep",-0.79
"94",2010,"Oct",-0.93
"95",2010,"Nov",-1.62
"96",2010,"Dec",-1.85
"97",2011,"Jan",-0.88
"98",2011,"Feb",0.7
"99",2011,"Mar",0.61
"100",2011,"Apr",2.48
"101",2011,"May",-0.06
"102",2011,"Jun",-1.28
"103",2011,"Jul",-1.51
"104",2011,"Aug",-1.35
"105",2011,"Sep",0.54
"106",2011,"Oct",0.39
"107",2011,"Nov",1.36
"108",2011,"Dec",2.52
"109",2012,"Jan",1.17
"110",2012,"Feb",0.42
"111",2012,"Mar",1.27
"112",2012,"Apr",0.47
"113",2012,"May",-0.91
"114",2012,"Jun",-2.53
"115",2012,"Jul",-1.32
"116",2012,"Aug",-0.98
"117",2012,"Sep",-0.59
"118",2012,"Oct",-2.06
"119",2012,"Nov",-0.58
"120",2012,"Dec",0.17
"121",2013,"Jan",0.35
"122",2013,"Feb",-0.45
"123",2013,"Mar",-1.61
"124",2013,"Apr",0.69
"125",2013,"May",0.57
"126",2013,"Jun",0.52
"127",2013,"Jul",0.67
"128",2013,"Aug",0.97
"129",2013,"Sep",0.24
"130",2013,"Oct",-1.28
"131",2013,"Nov",0.9
"132",2013,"Dec",0.95
"133",2014,"Jan",0.29
"134",2014,"Feb",1.34
"135",2014,"Mar",0.8
"136",2014,"Apr",0.31
"137",2014,"May",-0.92
"138",2014,"Jun",-0.97
"139",2014,"Jul",0.18
"140",2014,"Aug",-1.68
"141",2014,"Sep",1.62
"142",2014,"Oct",-1.27
"143",2014,"Nov",0.68
"144",2014,"Dec",1.86
"145",2015,"Jan",1.79
"146",2015,"Feb",1.32
"147",2015,"Mar",1.45
"148",2015,"Apr",0.73
"149",2015,"May",0.15
"150",2015,"Jun",-0.07
"151",2015,"Jul",-3.18
"152",2015,"Aug",-0.76
"153",2015,"Sep",-0.65
"154",2015,"Oct",0.44
"155",2015,"Nov",1.74
"156",2015,"Dec",2.24
"157",2016,"Jan",0.12
"158",2016,"Feb",1.58
"159",2016,"Mar",0.73
"160",2016,"Apr",0.38
"161",2016,"May",-0.77
"162",2016,"Jun",-0.43
"163",2016,"Jul",-1.76
"164",2016,"Aug",-1.65
"165",2016,"Sep",0.61
"166",2016,"Oct",0.41
"167",2016,"Nov",-0.16
