station,date,value,yr,mo
gtmpcnut,2003-02-26,3.65,2003,Feb
gtmpcnut,2003-03-22,1.0750000000000002,2003,Mar
gtmpcnut,2003-04-29,5.300000000000001,2003,Apr
gtmpcnut,2003-05-27,7.5,2003,May
gtmpcnut,2003-06-25,8.899999999999999,2003,Jun
gtmpcnut,2003-07-29,9.05,2003,Jul
gtmpcnut,2003-08-26,2.7,2003,Aug
gtmpcnut,2003-09-23,4.800000000000001,2003,Sep
gtmpcnut,2003-10-23,3.4000000000000004,2003,Oct
gtmpcnut,2003-11-20,3.6,2003,Nov
gtmpcnut,2003-12-10,2.95,2003,Dec
gtmpcnut,2004-01-07,1.95,2004,Jan
gtmpcnut,2004-02-04,1.75,2004,Feb
gtmpcnut,2004-03-17,1.6,2004,Mar
gtmpcnut,2004-04-14,7.3,2004,Apr
gtmpcnut,2004-05-04,6.800000000000001,2004,May
gtmpcnut,2004-06-01,8.5,2004,Jun
gtmpcnut,2004-07-13,24.55,2004,Jul
gtmpcnut,2004-08-17,1.35,2004,Aug
gtmpcnut,2004-09-13,0.55,2004,Sep
gtmpcnut,2004-10-25,4.550000000000001,2004,Oct
gtmpcnut,2004-11-01,2.7,2004,Nov
gtmpcnut,2004-12-09,7.05,2004,Dec
gtmpcnut,2005-02-07,3.45,2005,Feb
gtmpcnut,2005-03-07,7.35,2005,Mar
gtmpcnut,2005-04-05,0.9,2005,Apr
gtmpcnut,2005-05-04,3.5,2005,May
gtmpcnut,2005-06-21,2.7,2005,Jun
gtmpcnut,2005-07-07,0.575,2005,Jul
gtmpcnut,2005-08-03,10.35,2005,Aug
gtmpcnut,2005-09-19,4.1,2005,Sep
gtmpcnut,2005-10-03,2.8,2005,Oct
gtmpcnut,2005-11-14,1.4500000000000002,2005,Nov
gtmpcnut,2005-12-06,1.3,2005,Dec
gtmpcnut,2006-01-17,1.9000000000000001,2006,Jan
gtmpcnut,2006-02-14,0.55,2006,Feb
gtmpcnut,2006-03-14,5.15,2006,Mar
gtmpcnut,2006-04-12,3.5999999999999996,2006,Apr
gtmpcnut,2006-05-10,4.85,2006,May
gtmpcnut,2006-06-12,8.35,2006,Jun
gtmpcnut,2006-07-11,8.75,2006,Jul
gtmpcnut,2006-08-08,12.95,2006,Aug
gtmpcnut,2006-09-20,12.95,2006,Sep
gtmpcnut,2006-10-23,6.8,2006,Oct
gtmpcnut,2006-11-08,7.699999999999999,2006,Nov
gtmpcnut,2006-12-06,4.9,2006,Dec
gtmpcnut,2007-01-03,4.8,2007,Jan
gtmpcnut,2007-02-19,8.8,2007,Feb
gtmpcnut,2007-03-06,9.5,2007,Mar
gtmpcnut,2007-04-04,18.4,2007,Apr
gtmpcnut,2007-05-15,9.4,2007,May
gtmpcnut,2007-06-13,14.3,2007,Jun
gtmpcnut,2007-07-16,17.9,2007,Jul
gtmpcnut,2007-08-13,25.35,2007,Aug
gtmpcnut,2007-09-11,13.65,2007,Sep
gtmpcnut,2007-10-10,4.6,2007,Oct
gtmpcnut,2007-11-13,4,2007,Nov
gtmpcnut,2007-12-10,6.95,2007,Dec
gtmpcnut,2008-01-08,5.15,2008,Jan
gtmpcnut,2008-02-05,10.600000000000001,2008,Feb
gtmpcnut,2008-03-10,7.35,2008,Mar
gtmpcnut,2008-04-21,9.8,2008,Apr
gtmpcnut,2008-05-20,12.05,2008,May
gtmpcnut,2008-06-19,21.25,2008,Jun
gtmpcnut,2008-07-02,24.65,2008,Jul
gtmpcnut,2008-08-18,16.65,2008,Aug
