station,date,value,yr,mo
gtmpinut,2003-01-22,3.85,2003,Jan
gtmpinut,2003-02-26,5.9,2003,Feb
gtmpinut,2003-03-26,3.25,2003,Mar
gtmpinut,2003-04-29,9.25,2003,Apr
gtmpinut,2003-05-27,9.3,2003,May
gtmpinut,2003-06-25,10.55,2003,Jun
gtmpinut,2003-07-29,7.3999999999999995,2003,Jul
gtmpinut,2003-08-26,5.550000000000001,2003,Aug
gtmpinut,2003-09-24,3.5,2003,Sep
gtmpinut,2003-10-23,6,2003,Oct
gtmpinut,2003-11-24,5.6,2003,Nov
gtmpinut,2003-12-11,4.300000000000001,2003,Dec
gtmpinut,2004-01-21,3.95,2004,Jan
gtmpinut,2004-02-04,3.45,2004,Feb
gtmpinut,2004-03-17,4,2004,Mar
gtmpinut,2004-04-14,6.75,2004,Apr
gtmpinut,2004-05-04,3.35,2004,May
gtmpinut,2004-06-01,6.95,2004,Jun
gtmpinut,2004-07-13,9.850000000000001,2004,Jul
gtmpinut,2004-08-16,3.25,2004,Aug
gtmpinut,2004-09-13,1.35,2004,Sep
gtmpinut,2004-10-25,2.25,2004,Oct
gtmpinut,2004-11-01,1.2999999999999998,2004,Nov
gtmpinut,2004-12-08,2.05,2004,Dec
gtmpinut,2005-02-07,2.05,2005,Feb
gtmpinut,2005-03-07,1.65,2005,Mar
gtmpinut,2005-04-05,5.75,2005,Apr
gtmpinut,2005-05-04,4.4,2005,May
gtmpinut,2005-06-21,6.5,2005,Jun
gtmpinut,2005-07-07,3.45,2005,Jul
gtmpinut,2005-08-03,7.9,2005,Aug
gtmpinut,2005-09-19,4.6,2005,Sep
gtmpinut,2005-10-03,2.1,2005,Oct
gtmpinut,2005-11-14,1.1,2005,Nov
gtmpinut,2005-12-06,2.2,2005,Dec
gtmpinut,2006-01-17,1.6500000000000001,2006,Jan
gtmpinut,2006-02-14,4.65,2006,Feb
gtmpinut,2006-03-14,2.55,2006,Mar
gtmpinut,2006-04-12,5,2006,Apr
gtmpinut,2006-05-10,1.8,2006,May
gtmpinut,2006-06-12,3,2006,Jun
gtmpinut,2006-07-11,4.35,2006,Jul
gtmpinut,2006-08-08,7.05,2006,Aug
gtmpinut,2006-09-25,6.15,2006,Sep
gtmpinut,2006-10-23,4.7,2006,Oct
