station,date,value,yr,mo
gtmssnut,2003-01-22,1.75,2003,Jan
gtmssnut,2003-02-26,2.55,2003,Feb
gtmssnut,2003-03-26,2.4000000000000004,2003,Mar
gtmssnut,2003-04-29,6.15,2003,Apr
gtmssnut,2003-05-27,5,2003,May
gtmssnut,2003-06-25,4,2003,Jun
gtmssnut,2003-07-30,4.7,2003,Jul
gtmssnut,2003-08-26,4.300000000000001,2003,Aug
gtmssnut,2003-09-24,5.65,2003,Sep
gtmssnut,2003-10-23,4.6,2003,Oct
gtmssnut,2003-11-24,5.45,2003,Nov
gtmssnut,2003-12-11,2.4000000000000004,2003,Dec
gtmssnut,2004-01-21,3.0999999999999996,2004,Jan
gtmssnut,2004-02-04,4.7,2004,Feb
gtmssnut,2004-03-17,1.6,2004,Mar
gtmssnut,2004-04-14,3.75,2004,Apr
gtmssnut,2004-05-04,2.65,2004,May
gtmssnut,2004-06-01,5.95,2004,Jun
gtmssnut,2004-07-13,3.3,2004,Jul
gtmssnut,2004-08-16,3.5999999999999996,2004,Aug
gtmssnut,2004-09-13,3.7,2004,Sep
gtmssnut,2004-10-25,2.15,2004,Oct
gtmssnut,2004-11-01,2.95,2004,Nov
gtmssnut,2004-12-08,2.45,2004,Dec
gtmssnut,2005-02-07,1.7999999999999998,2005,Feb
gtmssnut,2005-03-07,1.5499999999999998,2005,Mar
gtmssnut,2005-04-05,3.2,2005,Apr
gtmssnut,2005-05-04,1.7000000000000002,2005,May
gtmssnut,2005-06-21,4.15,2005,Jun
gtmssnut,2005-07-07,2.65,2005,Jul
gtmssnut,2005-08-03,3.25,2005,Aug
gtmssnut,2005-09-19,3.8,2005,Sep
gtmssnut,2005-10-03,1.9,2005,Oct
gtmssnut,2005-11-14,1.4500000000000002,2005,Nov
gtmssnut,2005-12-06,1.65,2005,Dec
gtmssnut,2006-01-17,0.9,2006,Jan
gtmssnut,2006-02-14,1.2000000000000002,2006,Feb
gtmssnut,2006-03-14,1.35,2006,Mar
gtmssnut,2006-04-12,4.35,2006,Apr
gtmssnut,2006-05-10,2.6,2006,May
gtmssnut,2006-06-12,1.7000000000000002,2006,Jun
gtmssnut,2006-07-11,2.45,2006,Jul
gtmssnut,2006-08-08,1.75,2006,Aug
gtmssnut,2006-09-25,8.7,2006,Sep
gtmssnut,2006-10-23,3.5999999999999996,2006,Oct
gtmssnut,2006-11-08,5.8,2006,Nov
gtmssnut,2006-12-06,4,2006,Dec
gtmssnut,2007-01-03,3.7,2007,Jan
gtmssnut,2007-02-19,2.3,2007,Feb
gtmssnut,2007-03-06,4.35,2007,Mar
gtmssnut,2007-04-04,3.9,2007,Apr
gtmssnut,2007-05-15,3,2007,May
gtmssnut,2007-06-13,2.2,2007,Jun
gtmssnut,2007-07-16,4.9,2007,Jul
gtmssnut,2007-08-13,4.45,2007,Aug
gtmssnut,2007-09-11,4.6,2007,Sep
gtmssnut,2007-10-10,14.05,2007,Oct
gtmssnut,2007-11-13,4,2007,Nov
gtmssnut,2007-12-10,3,2007,Dec
gtmssnut,2008-01-08,2.3,2008,Jan
gtmssnut,2008-02-05,3.1,2008,Feb
gtmssnut,2008-03-10,5.25,2008,Mar
gtmssnut,2008-04-21,7.25,2008,Apr
gtmssnut,2008-05-20,5.800000000000001,2008,May
gtmssnut,2008-06-19,6.6,2008,Jun
gtmssnut,2008-07-02,7.1,2008,Jul
gtmssnut,2008-08-18,4,2008,Aug
gtmssnut,2008-09-18,8.25,2008,Sep
gtmssnut,2008-10-14,8.25,2008,Oct
